p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
480,148,26,2,0,0,2,4,4
480,148,26,2,0,0,2,4,4
510,162,26,2,0,0,3,4,4
534,166,24,2,0,0,3,4,4
540,164,26,2,0,0,2,3,3
540,164,26,2,0,0,3,4,4
570,170,26,0,0,0,3,4,4
570,170,26,0,0,0,3,4,4
558,166,28,0,0,0,3,4,4
558,166,28,0,0,0,3,4,4
570,166,28,0,0,0,3,4,4
504,146,20,0,0,0,2,3,3
480,138,12,0,0,0,2,3,3
480,138,12,0,0,0,2,3,3
516,150,22,4,0,0,2,4,4
516,150,22,4,0,0,2,4,4
510,150,28,4,0,0,3,4,4
510,150,28,4,0,0,3,4,4
504,152,30,6,0,0,3,5,5
534,156,40,6,0,0,2,5,5
510,146,42,6,0,0,2,5,5
510,146,42,6,0,0,2,5,5
462,134,36,4,0,0,2,4,4
462,134,36,4,0,0,2,4,4
426,122,26,4,0,0,1,4,4
438,126,32,4,0,0,2,4,4
384,116,24,2,0,0,1,3,3
384,116,24,2,0,0,1,3,3
492,152,36,2,0,0,2,5,5
492,152,36,2,0,0,2,5,5
528,160,36,4,0,0,2,5,5
564,174,40,4,0,0,2,5,5
612,190,36,6,0,0,3,6,6
612,190,36,6,0,0,3,6,6
636,194,36,6,0,0,3,6,6
636,194,36,6,0,0,3,6,6
612,190,34,4,0,0,3,6,6
642,200,34,4,0,0,4,6,6
618,188,38,4,0,0,3,5,6
618,188,38,4,0,0,3,5,6
570,174,38,2,0,0,3,5,5
570,174,38,2,0,0,3,5,5
558,174,34,2,0,0,3,4,5
522,162,32,2,0,0,3,4,5
468,136,24,0,0,0,1,2,2
468,136,24,0,0,0,2,3,3
480,140,22,2,0,0,2,3,3
480,140,22,2,0,0,2,3,3
420,120,24,4,0,0,1,3,3
474,136,20,4,0,0,2,3,3
528,152,22,4,0,0,1,3,3
528,152,22,4,0,0,1,3,3
582,172,28,2,0,0,2,3,3
582,172,28,2,0,0,2,3,3
618,182,32,2,0,0,3,5,5
624,184,30,2,0,0,3,5,5
618,182,34,0,0,0,2,4,4
618,182,34,0,0,0,2,4,4
570,174,38,0,0,0,2,4,4
570,174,38,0,0,0,2,4,4
474,144,34,0,0,0,1,3,3
468,146,38,0,0,0,1,3,3
438,136,34,0,0,0,2,4,4
438,136,34,0,0,0,2,4,4
414,128,34,0,0,0,1,3,3
414,128,34,0,0,0,1,3,3
402,124,32,2,0,0,1,3,3
456,144,36,2,0,0,2,4,4
462,146,34,6,0,0,2,5,5
462,146,34,6,0,0,2,5,5
444,138,38,6,0,0,1,4,4
444,138,38,6,0,0,2,5,5
504,156,42,6,0,0,2,5,5
516,160,42,4,0,0,2,5,5
456,142,38,4,0,0,2,4,4
456,142,38,4,0,0,2,4,4
462,140,38,2,0,0,2,4,4
462,140,38,2,0,0,2,4,4
486,150,32,2,0,0,2,4,4
480,144,28,2,0,0,2,4,4
444,132,26,4,0,0,2,4,4
444,132,26,4,0,0,2,4,4
528,156,32,6,0,0,2,5,5
528,156,32,6,0,0,2,5,5
498,148,22,4,0,0,2,4,4
462,136,22,4,0,0,2,4,4
420,126,26,4,0,0,2,3,3
420,126,26,4,0,0,2,3,3
420,132,32,2,0,0,2,3,3
420,132,32,2,0,0,2,3,3
384,118,26,0,0,0,1,2,2
414,126,32,0,0,0,2,3,3
396,118,32,0,0,0,2,3,3
396,118,32,0,0,0,2,3,3
390,118,30,2,0,0,2,3,3
390,118,30,2,0,0,2,3,3
432,134,34,2,0,0,2,4,4
444,134,32,2,0,0,2,4,4
402,124,34,2,0,0,2,3,3
402,124,34,2,0,0,2,3,3
504,152,50,2,0,0,2,5,5
504,152,50,2,0,0,2,5,5
510,150,46,2,0,0,2,5,5
486,142,46,2,0,0,2,5,5
480,142,48,2,0,0,2,4,4
480,142,48,2,0,0,2,4,4
450,138,32,2,0,0,2,4,4
450,138,32,2,0,0,2,4,4
456,142,34,4,0,0,2,4,4
444,136,38,4,0,0,2,4,4
492,146,34,2,0,0,2,4,4
492,146,34,2,0,0,2,4,4
486,140,28,2,0,0,2,4,4
486,140,28,2,0,0,2,4,4
510,148,40,2,0,0,2,4,4
546,156,42,2,0,0,2,5,5
522,154,34,2,0,0,2,4,4
